method,split,MAE,RMSE,R2,pct_within_6mo,pct_within_12mo,PICP_90,PICP_95,MPIW_90,MPIW_95,n,timestamp,cal_err_90,cal_err_95
mc_dropout,test,7.500965600630693,10.014480389901896,0.9423457600746236,50.24561403508771,82.10526315789474,0.7873684210526316,0.8350877192982457,27.73033979051317,33.04040485678166,1425,20260623_120357,0.11263157894736842,0.1149122807017543
mc_dropout,val,7.5376843574961665,9.98990878816394,0.9406543165236444,50.523311132255,80.81192515065018,0.7821122740247384,0.833174754202347,27.440612488711608,32.695197858890424,3153,20260623_111611,0.11788772597526165,0.11682524579765297
