method,split,MAE,RMSE,R2,pct_within_6mo,pct_within_12mo,PICP_90,PICP_95,MPIW_90,MPIW_95,n,timestamp,cal_err_90,cal_err_95
heteroscedastic,test,8.648385548183793,11.173761055487685,0.928225005133736,42.526315789473685,73.96491228070175,0.9010526315789472,0.9410526315789474,35.351021447367536,42.12036597984217,1425,20260624_130049,0.001052631578947194,0.008947368421052593
bnn,test,10.99277687281893,14.003455338359572,0.8872686179391602,32.91228070175439,62.59649122807017,0.9010526315789472,0.9410526315789474,48.48207672514023,57.76587865123092,1425,20260624_222213,0.001052631578947194,0.008947368421052593
mc_dropout,test,8.609691103989618,11.19518860718881,0.9279494601215408,44.77192982456141,73.82456140350877,0.8912280701754386,0.9347368421052632,40.691543850195984,48.48354160874416,1425,20260624_132519,0.00877192982456143,0.015263157894736756
mc_dropout_base,test,7.500965600630693,10.014480389901896,0.9423457600746236,50.24561403508771,82.10526315789474,0.9298245614035088,0.9578947368421052,54.224194085764026,64.60755040005925,1425,20260624_144525,0.029824561403508754,0.007894736842105288
